name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Altered Carbon,18,en,1658,7.713,2
Marvel's Agent Carter,18,en,1645,7.535,2
True Blood,80,en,1641,7.624,2
High School D×D,49,ja,1638,8.626,3
Castle,173,en,1632,8.012,3
The Strain,46,en,1632,7.5,2
Desperate Housewives,179,en,1628,7.929,2
Scream Queens,23,en,1609,7.899,2
Bleach,392,ja,1602,8.409,3
Boys Over Flowers,25,ko,1592,8.249,3
Sword Art Online,96,ja,1587,8.211,3
Marvel's Luke Cage,26,en,1574,6.962,2
Big Time Rush,70,en,1565,8.636,3
Never Have I Ever,40,en,1557,8.161,3
Scrubs,182,en,1553,8.039,3
Star Trek: Discovery,56,en,1542,7.147,2
Insatiable,22,en,1542,7.82,2
Selena: The Series,18,en,1542,7.509,2
Ghost Whisperer,107,en,1541,8.088,3
Pokémon,1234,ja,1538,7.743,2
The Boat,43,es,1536,7.841,2
Star Trek: Picard,30,en,1533,7.329,2
Hawaii Five-0,240,en,1526,7.729,2
Victorious,59,en,1522,8.218,3
Buffy the Vampire Slayer,144,en,1517,8.172,3
The Magicians,65,en,1503,7.654,2
Record of Ragnarok,27,ja,1499,8.513,3
Ben 10,52,en,1487,8.147,3
The Last Kingdom,46,en,1485,8.29,3
Person of Interest,103,en,1483,8.1,3
"Love, Victor",28,en,1478,8.63,3
Hunter x Hunter,148,ja,1472,8.647,3
El Chapo,32,es,1470,7.503,2
Elementary,154,en,1465,7.572,2
CSI: Miami,232,en,1461,7.755,2
SPY x FAMILY,38,ja,1458,8.612,3
40 y 20,124,es,1446,8.0,2
Community,110,en,1442,7.984,2
Bates Motel,50,en,1441,8.102,3
American Gods,26,en,1441,7.099,2
True Beauty,16,ko,1433,8.472,3
His Dark Materials,23,en,1431,7.963,2
The Rookie,98,en,1431,8.272,3
How to Get Away with Murder,90,en,1429,7.88,2
Batwoman,51,en,1428,7.043,2
Rosario Tijeras,197,es,1428,7.469,2
Ash vs Evil Dead,30,en,1427,7.688,2
Neon Genesis Evangelion,26,ja,1423,8.637,3
Kakegurui,24,ja,1412,8.2,3
Sense8,24,en,1407,7.8,2
Lost in Space,28,en,1402,7.575,2
Ginny & Georgia,20,en,1397,8.1,3
Batman: The Animated Series,85,en,1392,8.512,3
Your Honor,20,en,1392,8.17,3
The Queen of Flow,172,es,1391,7.983,2
Cowboy Bebop,26,ja,1384,8.5,3
La hija del Mariachi,149,es,1380,8.036,3
The Owl House,43,en,1379,8.656,3
Silicon Valley,53,en,1379,8.132,3
Obi-Wan Kenobi,6,en,1378,7.2,2
2 Broke Girls,137,en,1374,7.173,2
Cosmos,26,en,1370,8.444,3
Constantine,13,en,1369,7.809,2
Stargate SG-1,214,en,1365,8.255,3
Once,220,es,1361,8.651,3
"Lady, la vendedora de rosas",75,es,1358,7.689,2
SEAL Team,102,en,1353,8.036,3
Station 19,95,en,1353,8.253,3
Tulsa King,9,en,1351,8.501,3
The Gifted,29,en,1350,7.684,2
Veneno,8,es,1347,8.414,3
Raised by Wolves,18,en,1345,7.6,2
Battlestar Galactica,73,en,1343,8.226,3
Courage the Cowardly Dog,102,en,1340,8.161,3
TONIKAWA: Over the Moon for You,24,ja,1338,8.518,3
iCarly,107,en,1337,7.989,2
24,204,en,1330,7.792,2
Monsters at Work,10,en,1329,7.178,2
Lie to Me,48,en,1313,7.935,2
The Good Place,50,en,1313,7.974,2
Manifest,62,en,1312,7.728,2
This Is Us,105,en,1310,8.25,3
Fate: The Winx Saga,13,en,1302,8.172,3
Defending Jacob,8,en,1292,8.368,3
Big Little Lies,14,en,1286,7.918,2
11.22.63,8,en,1282,7.768,2
Star Trek: The Next Generation,176,en,1275,8.355,3
Traveling with the Derbez,23,es,1275,7.463,2
The Outsider,10,en,1266,7.384,2
Primal,20,en,1260,8.6,3
Ted Lasso,34,en,1260,8.477,3
That '70s Show,200,en,1253,7.989,2
Parks and Recreation,125,en,1250,8.0,2
The Amazing World of Gumball,240,en,1246,8.516,3
Marvel's The Defenders,8,en,1246,7.084,2
Dr. STONE,47,ja,1245,8.622,3
Star vs. the Forces of Evil,140,en,1244,8.404,3
Chainsaw Man,12,ja,1242,8.626,3
JoJo's Bizarre Adventure,190,ja,1242,8.638,3
Tom Clancy's Jack Ryan,30,en,1241,7.717,2
