Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
Aftersun,II 2022,102,7.7,"77,065",*****,Charlotte Wells,"['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall', 'Sally Messham']",Low
Black Hawk Down,2001,144,7.7,"4,14,690",$108.64M,Ridley Scott,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']",Low
The Hangover,2009,100,7.7,"8,24,492",$277.32M,Todd Phillips,"['Zach Galifianakis', 'Bradley Cooper', 'Justin Bartha', 'Ed Helms']",Low
Kingsman: The Secret Service,2014,129,7.7,"6,99,573",$128.26M,Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']",Low
Home Alone,1990,103,7.7,"6,14,911",$285.76M,Chris Columbus,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']",Low
Mr. Nobody,2009,141,7.7,"2,42,224",$0.00M,Jaco Van Dormael,"['Jared Leto', 'Sarah Polley', 'Diane Kruger', 'Linh-Dan Pham']",Low
Airplane!,1980,88,7.7,"2,53,874",$83.40M,"Directors:Jim Abrahams, David Zucker, Jerry Zucker","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']",Low
Harry Potter and the Deathly Hallows - Part 1,2010,146,7.7,"5,80,904",$295.98M,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Bill Nighy']",Low
A Few Good Men,1992,138,7.7,"2,79,834",$141.34M,Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon']",Low
What's Eating Gilbert Grape,1993,118,7.7,"2,48,642",$9.17M,Lasse Hallström,"['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis', 'Mary Steenburgen']",Low
La vie d'Adèle,2013,180,7.7,"1,59,757",$2.20M,Abdellatif Kechiche,"['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']",Low
Ex Machina,2014,108,7.7,"5,71,482",$25.44M,Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']",Low
Evil Dead II,1987,84,7.7,"1,77,956",$5.92M,Sam Raimi,"['Bruce Campbell', 'Sarah Berry', 'Dan Hicks', 'Kassie Wesley DePaiva']",Low
Blazing Saddles,1974,93,7.7,"1,47,771",$119.50M,Mel Brooks,"['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman']",Low
(500) Days of Summer,2009,95,7.7,"5,42,663",$32.39M,Marc Webb,"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']",Low
Ocean's Eleven,2001,116,7.7,"6,03,913",$183.42M,Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Matt Damon']",Low
Lost in Translation,2003,102,7.7,"4,76,438",$44.59M,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']",Low
Training Day,2001,122,7.7,"4,60,359",$76.63M,Antoine Fuqua,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger']",Low
Dirty Harry,1971,102,7.7,"1,65,006",$35.90M,"Directors:Don Siegel, Clint Eastwood","['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino', 'Reni Santoni']",Low
Bonnie and Clyde,1967,111,7.7,"1,18,206",*****,Arthur Penn,"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman']",Low
When Harry Met Sally...,1989,95,7.7,"2,34,159",$92.82M,Rob Reiner,"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby']",Low
X: First Class,2011,131,7.7,"7,12,982",$146.41M,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon']",Low
The Last of the Mohicans,1992,112,7.7,"1,81,770",$75.51M,Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']",Low
