Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
Spoorloos,1988,107,7.7,"42,040",*****,George Sluizer,"['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege', 'Gwen Eckhaus']",Low
Badlands,1973,94,7.7,"76,716",*****,Terrence Malick,"['Martin Sheen', 'Sissy Spacek', 'Warren Oates', 'Ramon Bieri']",Low
Star Trek II: The Wrath of Khan,1982,113,7.7,"1,27,185",$78.91M,Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']",Low
Invasion of the Body Snatchers,1956,80,7.7,"53,368",*****,Don Siegel,"['Kevin McCarthy', 'Dana Wynter', 'Larry Gates', 'King Donovan']",Low
The Verdict,1982,129,7.7,"44,474",$54.00M,Sidney Lumet,"['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason']",Low
Ordinary People,1980,124,7.7,"55,309",$54.80M,Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",Low
Ray,I 2004,152,7.7,"1,54,675",$75.33M,Taylor Hackford,"['Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell']",Low
Lucky Number Slevin,2006,110,7.7,"3,21,816",$22.49M,Paul McGuigan,"['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']",Low
La grande bellezza,2013,141,7.7,"95,661",$2.85M,Paolo Sorrentino,"['Toni Servillo', 'Carlo Verdone', 'Sabrina Ferilli', 'Carlo Buccirosso']",Low
Me and Earl and the Dying Girl,2015,105,7.7,"1,36,388",$6.74M,Alfonso Gomez-Rejon,"['Thomas Mann', 'RJ Cyler', 'Olivia Cooke', 'Nick Offerman']",Low
Ondskan,2003,113,7.7,"40,834",$0.02M,Mikael Håfström,"['Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård', 'Linda Zilliacus']",Low
Madeo,2009,129,7.7,"69,476",$0.55M,Bong Joon Ho,"['Kim Hye-ja', 'Won Bin', 'Jin Goo', 'Je-mun Yun']",Low
The Last Emperor,1987,163,7.7,"1,08,980",$43.98M,Bernardo Bertolucci,"['John Lone', 'Joan Chen', ""Peter O'Toole"", 'Ruocheng Ying']",Low
Hamlet,1996,242,7.7,"39,398",$4.41M,Kenneth Branagh,"['Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']",Low
The Dirty Dozen,1967,150,7.7,"77,470",$45.30M,Robert Aldrich,"['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']",Low
Miller's Crossing,1990,115,7.7,"1,39,802",$5.08M,"Directors:Joel Coen, Ethan Coen","['Gabriel Byrne', 'Albert Finney', 'John Turturro', 'Marcia Gay Harden']",Low
Zulu,1964,138,7.7,"41,614",*****,Cy Endfield,"['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']",Low
Finding Neverland,2004,106,7.7,"2,10,361",$51.68M,Marc Forster,"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell']",Low
"South Park: Bigger, Longer & Uncut",1999,81,7.7,"2,11,940",$52.04M,Trey Parker,"['Trey Parker', 'Matt Stone', 'Mary Kay Bergman', 'Isaac Hayes']",Low
The African Queen,1951,105,7.7,"82,582",$0.54M,John Huston,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull']",Low
Kubo and the Two Strings,2016,101,7.7,"1,36,155",$48.02M,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",Low
Lola rennt,1998,81,7.7,"2,04,206",$7.27M,Tom Tykwer,"['Franka Potente', 'Moritz Bleibtreu', 'Herbert Knaup', 'Nina Petri']",Low
Wait Until Dark,1967,108,7.7,"32,806",$17.55M,Terence Young,"['Audrey Hepburn', 'Alan Arkin', 'Richard Crenna', 'Efrem Zimbalist Jr.']",Low
Ajeossi,2010,119,7.7,"73,162",$0.01M,Lee Jeong-beom,"['Won Bin', 'Kim Sae-ron', 'Kim Tae-hoon', 'Kim Hee-won']",Low
Short Cuts,1993,188,7.7,"46,710",$6.11M,Robert Altman,"['Andie MacDowell', 'Julianne Moore', 'Tim Robbins', 'Bruce Davison']",Low
Abre los ojos,1997,119,7.7,"72,130",$0.37M,Alejandro Amenábar,"['Eduardo Noriega', 'Penélope Cruz', 'Chete Lera', 'Fele Martínez']",Low
Kurenai no buta,1992,94,7.7,"97,273",*****,Hayao Miyazaki,"['Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura Vi', 'Tsunehiko Kamijô']",Low
The Longest Day,1962,178,7.7,"58,172",$39.10M,"Directors:Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck","['John Wayne', 'Robert Ryan', 'Richard Burton', 'Henry Fonda']",Low
Hedwig and the Angry Inch,2001,95,7.7,"36,924",$3.03M,John Cameron Mitchell,"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask', 'Theodore Liscinski']",Low
La planète sauvage,1973,72,7.7,"35,404",$0.19M,René Laloux,"['Barry Bostwick', 'Jennifer Drake', 'Eric Baugin', 'Jean Topart']",Low
Beasts of No Nation,2015,137,7.7,"85,317",$0.08M,Cary Joji Fukunaga,"['Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor', 'Andrew Adote']",Low
Perfetti sconosciuti,2016,96,7.7,"69,538",*****,Paolo Genovese,"['Giuseppe Battiston', 'Anna Foglietta', 'Marco Giallini', 'Edoardo Leo']",Low
Waking Life,2001,99,7.7,"66,184",$2.89M,Richard Linklater,"['Ethan Hawke', 'Trevor Jack Brooks', 'Lorelei Linklater', 'Wiley Wiggins']",Low
À bout de souffle,1960,90,7.7,"86,129",$0.34M,Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Van Doude', 'Jean-Luc Godard']",Low
Nebraska,2013,115,7.7,"1,21,279",$17.65M,Alexander Payne,"['Bruce Dern', 'Will Forte', 'June Squibb', 'Bob Odenkirk']",Low
Good Bye Lenin!,2003,121,7.7,"1,50,732",$4.06M,Wolfgang Becker,"['Daniel Brühl', 'Katrin Sass', 'Chulpan Khamatova', 'Florian Lukas']",Low
Omoide no Marnie,2014,103,7.7,"45,371",$0.77M,Hiromasa Yonebayashi,"['Sara Takatsuki', 'Kasumi Arimura', 'Nanako Matsushima', 'Susumu Terajima']",Low
Le Petit Prince,2015,108,7.7,"65,285",$1.34M,Mark Osborne,"['Jeff Bridges', 'Mackenzie Foy', 'Rachel McAdams', 'Marion Cotillard']",Low
Night on Earth,1991,129,7.7,"64,328",$2.02M,Jim Jarmusch,"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk', 'Alan Randolph Scott']",Low
The Broken Circle Breakdown,2012,111,7.7,"42,658",$0.18M,Felix van Groeningen,"['Veerle Baetens', 'Johan Heldenbergh', 'Nell Cattrysse', 'Geert Van Rampelberg']",Low
Down by Law,1986,107,7.7,"54,282",$1.44M,Jim Jarmusch,"['Tom Waits', 'John Lurie', 'Roberto Benigni', 'Nicoletta Braschi']",Low
Ta'm e guilass,1997,95,7.7,"34,760",$0.31M,Abbas Kiarostami,"['Homayoun Ershadi', 'Abdolhosein Bagheri', 'Afshin Khorshid Bakhtiari', 'Safar Ali Moradi']",Low
Yume,1990,119,7.7,"28,237",$1.96M,"Directors:Akira Kurosawa, Ishirô Honda","['Akira Terao', 'Mitsuko Baishô', 'Toshie Negishi', 'Mieko Harada']",Low
Diarios de motocicleta,2004,126,7.7,"1,03,851",$16.78M,Walter Salles,"['Gael García Bernal', 'Rodrigo de la Serna', 'Mía Maestro', 'Mercedes Morán']",Low
Chun gwong cha sit,1997,96,7.7,"32,756",$0.19M,Kar-Wai Wong,"['Leslie Cheung', 'Tony Leung Chiu-wai', 'Chang Chen', 'Gregory Dayton']",Low
Lat sau san taam,1992,128,7.7,"52,967",*****,John Woo,"['Chow Yun-Fat', 'Tony Leung Chiu-wai', 'Teresa Mo', 'Philip Chan']",Low
Marty,1955,90,7.7,"26,180",*****,Delbert Mann,"['Ernest Borgnine', 'Betsy Blair', 'Esther Minciotti', 'Augusta Ciolli']",Low
Scarface,1932,93,7.7,"29,567",*****,"Directors:Howard Hawks, Richard Rosson","['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins']",Low
Frost/Nixon,2008,122,7.7,"1,11,221",$18.59M,Ron Howard,"['Frank Langella', 'Michael Sheen', 'Kevin Bacon', 'Sam Rockwell']",Low
Auf der anderen Seite,2007,122,7.7,"33,091",$0.74M,Fatih Akin,"['Baki Davrak', 'Gürsoy Gemec', 'Cengiz Daner', 'Tuncel Kurtiz']",Low
Black Narcissus,1947,101,7.7,"26,763",*****,"Directors:Michael Powell, Emeric Pressburger","['Deborah Kerr', 'David Farrar', 'Flora Robson', 'Jenny Laird']",Low
The Muppet Christmas Carol,1992,85,7.7,"65,021",$27.28M,Brian Henson,"['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson']",Low
Adams æbler,2005,94,7.7,"53,348",$0.00M,Anders Thomas Jensen,"['Ulrich Thomsen', 'Mads Mikkelsen', 'Nicolas Bro', 'Paprika Steen']",Low
Les triplettes de Belleville,2003,80,7.7,"56,318",$7.00M,Sylvain Chomet,"['Michèle Caucheteux', 'Jean-Claude Donda', 'Michel Robin', 'Monica Viegas']",Low
Key Largo,1948,100,7.7,"43,247",*****,John Huston,"['Humphrey Bogart', 'Edward G. Robinson', 'Lauren Bacall', 'Lionel Barrymore']",Low
La double vie de Véronique,1991,98,7.7,"51,746",$2.00M,Krzysztof Kieslowski,"['Irène Jacob', 'Wladyslaw Kowalski', 'Halina Gryglaszewska', 'Kalina Jedrusik']",Low
The Magdalene Sisters,2002,114,7.7,"28,112",$4.89M,Peter Mullan,"['Eileen Walsh', 'Dorothy Duffy', 'Nora-Jane Noone', 'Anne-Marie Duff']",Low
The Lady Vanishes,1938,96,7.7,"55,817",*****,Alfred Hitchcock,"['Margaret Lockwood', 'Michael Redgrave', 'Paul Lukas', 'May Whitty']",Low
L'avventura,1960,144,7.7,"31,906",*****,Michelangelo Antonioni,"['Gabriele Ferzetti', 'Monica Vitti', 'Lea Massari', 'Dominique Blanchar']",Low
Das Experiment,2001,120,7.7,"95,472",$0.14M,Oliver Hirschbiegel,"['Moritz Bleibtreu', 'Christian Berkel', 'Oliver Stokowski', 'Wotan Wilke Möhring']",Low
Forushande,2016,124,7.7,"63,509",$2.40M,Asghar Farhadi,"['Taraneh Alidoosti', 'Shahab Hosseini', 'Babak Karimi', 'Mina Sadati']",Low
The Purple Rose of Cairo,1985,82,7.7,"53,912",$10.63M,Woody Allen,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman']",Low
Kokuhaku,2010,106,7.7,"41,187",*****,Tetsuya Nakashima,"['Takako Matsu', 'Yoshino Kimura', 'Masaki Okada', 'Yukito Nishii']",Low
How Green Was My Valley,1941,118,7.7,"25,801",*****,John Ford,"['Walter Pidgeon', ""Maureen O'Hara"", 'Anna Lee', 'Donald Crisp']",Low
Efter brylluppet,2006,120,7.7,"36,216",$0.41M,Susanne Bier,"['Mads Mikkelsen', 'Sidse Babett Knudsen', 'Rolf Lassgård', 'Neeral Mulchandani']",Low
Jules et Jim,1962,105,7.7,"43,623",*****,François Truffaut,"['Jeanne Moreau', 'Oskar Werner', 'Henri Serre', 'Vanna Urbino']",Low
